n,n_days,n_bins,n_hi,n_lo,q_hi_mean,q_lo_mean,spread,spread_lo95,spread_hi95,spearman,spearman_lo95,spearman_hi95,p_boot,population,factor,outcome,nq,is_spread,is_n,oos_spread,oos_lo95,oos_hi95,oos_n,oos_sign_agrees,split_date,q_value
1356,69,3,452,452,0.18805309734513273,0.17035398230088494,0.017699115044247787,-0.03507967161564953,0.07699391883027908,0.01757784701888141,-0.03506066733119233,0.08125162479697055,0.54,P2_no_universe_allowlist,f_prior_flow,y_tp,3,0.023121387283236983,1038.0,-0.012500000000000011,-0.141484521575985,0.12716371041800212,318.0,False,2026-05-14,
1356,69,3,452,452,-0.016585747275154397,-0.025567382732380246,0.00898163545722585,-0.029801265540781524,0.04562733186887544,0.006758285659075605,-0.05936615947862302,0.06699004489415865,0.665,P2_no_universe_allowlist,f_prior_flow,y_ret,3,0.018207064345908408,1038.0,-0.02007575611991,-0.13103658113713837,0.04914743756500772,318.0,False,2026-05-14,
1356,69,3,452,452,0.028761061946902654,0.024336283185840708,0.004424778761061947,-0.01315797480367805,0.021333992287333996,0.02577911607483673,-0.01162390793359173,0.0651108921183637,0.597,P2_no_universe_allowlist,f_prior_flow,y_orion_pess,3,0.002890173410404623,1038.0,0.008333333333333331,-0.0387748281130634,0.05714285714285714,318.0,True,2026-05-14,
359,27,3,120,120,-0.00588075897698947,-0.000593646754773311,-0.005287112222216159,-0.0254295425757057,0.00486106254705676,-0.045107357011760815,-0.1787463687910658,0.0823834334613622,0.289,P2_no_universe_allowlist,f_prior_flow,y_und_return_1d,3,,,,,,,,,
1356,69,3,452,452,0.17035398230088494,0.18584070796460178,-0.015486725663716838,-0.07553185506399995,0.0377044238314439,-0.0227453690223295,-0.09301185303313353,0.041830990119781246,0.56,P2_no_universe_allowlist,f_prior_flow_align,y_tp,3,-0.02890173410404623,1038.0,-0.05555555555555555,-0.20210727597075775,0.09797462406015034,318.0,True,2026-05-14,
1356,69,3,452,452,-0.02890543743472744,-0.017222279377963882,-0.011683158056763558,-0.07987376768673063,0.032912044444106614,-0.004237262082961534,-0.10648652036152051,0.07485781339059604,0.626,P2_no_universe_allowlist,f_prior_flow_align,y_ret,3,-0.003934644018422369,1038.0,-0.07485592913787636,-0.23504188206531004,0.057830427399056285,318.0,True,2026-05-14,
1356,69,3,452,452,0.024336283185840708,0.02654867256637168,-0.0022123893805309734,-0.0231800036431333,0.01509831011398245,0.0072624116163999535,-0.04431401906636026,0.048488972442059464,0.792,P2_no_universe_allowlist,f_prior_flow_align,y_orion_pess,3,0.0,1038.0,-0.015079365079365078,-0.07692307692307693,0.04327445652173913,318.0,False,2026-05-14,
359,27,3,120,120,0.004355043245134732,-0.007532390869364188,0.01188743411449892,0.0022475993678710967,0.030247290302291046,0.09194712970304374,-0.0121173832091061,0.23398100505332495,0.015,P2_no_universe_allowlist,f_prior_flow_align,y_und_return_1d,3,,,,,,,,,
1356,69,3,440,455,0.18636363636363637,0.18461538461538463,0.0017482517482517446,-0.08582254858212128,0.08388035940553655,-0.003163664382772221,-0.0940902073877288,0.08331758943464115,0.954,P2_no_universe_allowlist,f_prior_cnt,y_tp,3,-0.003151745213613444,1038.0,-0.0598173515981735,-0.20647787771234977,0.2311252713477253,318.0,True,2026-05-14,
1356,69,3,440,455,-0.006484578070580309,-0.014740341356696185,0.008255763286115877,-0.04213445177223893,0.06303918809337704,0.019051832501790014,-0.07760817436024593,0.11816271940536648,0.703,P2_no_universe_allowlist,f_prior_cnt,y_ret,3,0.004917313544025723,1038.0,0.07507250196632365,-0.03437284629449549,0.24814128033147062,318.0,True,2026-05-14,
